hqc,source_dir,run,metric,metric_label,us
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,open_close,open-close,54576.043
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,ping,ping,538.887
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_in_malloc,payload-in malloc,577.159
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_out_malloc,payload-out malloc,552.004
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_inout_malloc,payload-inout malloc,575.129
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,566.042
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,561.136
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,581.761
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,598.247
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,568.468
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,600.613
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,decode_one,decode-one,578.359
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run1,bench,bench batched decode,39.244
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,open_close,open-close,51839.332
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,ping,ping,558.822
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_in_malloc,payload-in malloc,573.161
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_out_malloc,payload-out malloc,551.032
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_inout_malloc,payload-inout malloc,571.827
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_in_rpcmem-cached,payload-in rpcmem-cached,571.528
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_out_rpcmem-cached,payload-out rpcmem-cached,556.782
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,577.565
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,590.235
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,573.339
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,590.781
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,decode_one,decode-one,608.466
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run2,bench,bench batched decode,39.165
128,results/fastrpc_overhead_current_cloud2/20260530_121427_hqc128,run3,open_close,open-close,51412.552
