kind,variant,level,substage,iters1_pcycles,iters3_pcycles,delta_ops,paired_pcycles_per_op,iters1_insns,iters3_insns,paired_insns_per_op,result,raw_i1,raw_i3
full,scalar,128,,247685868,736012680,512,953763.305,223116302,664873589,862807.201,PASS,results/sim_decode/20260530_003807_paired_i1_i3/full_scalar_hqc128_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/full_scalar_hqc128_i3.log
full,scalar,192,,343964565,1022764593,512,1325781.305,305435001,910989280,1182723.201,PASS,results/sim_decode/20260530_003807_paired_i1_i3/full_scalar_hqc192_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/full_scalar_hqc192_i3.log
full,scalar,256,,708376005,2113484655,512,2744352.832,634454192,1897032091,2465972.459,PASS,results/sim_decode/20260530_003807_paired_i1_i3/full_scalar_hqc256_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/full_scalar_hqc256_i3.log
full,fastest,128,,15106374,36336516,512,41465.121,11435703,28205272,32753.064,PASS,results/sim_decode/20260530_003807_paired_i1_i3/full_fastest_hqc128_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/full_fastest_hqc128_i3.log
full,fastest,192,,18420375,44134707,512,50223.305,13568754,33728345,39374.201,PASS,results/sim_decode/20260530_003807_paired_i1_i3/full_fastest_hqc192_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/full_fastest_hqc192_i3.log
full,fastest,256,,27599184,68894766,512,80655.434,20248218,52595513,63178.311,PASS,results/sim_decode/20260530_003807_paired_i1_i3/full_fastest_hqc256_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/full_fastest_hqc256_i3.log
substage,scalar,128,2,578997813,713743533,23552,5721.201,530669348,655122295,5284.177,PASS,results/sim_decode/20260530_003807_paired_i1_i3/substage_scalar_hqc128_s2_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/substage_scalar_hqc128_s2_i3.log
substage,scalar,128,3,529855362,566318592,23552,1548.201,491148785,536560449,1928.145,PASS,results/sim_decode/20260530_003807_paired_i1_i3/substage_scalar_hqc128_s3_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/substage_scalar_hqc128_s3_i3.log
substage,scalar,128,4,553176546,636280356,512,162312.129,506553925,582773878,148867.096,PASS,results/sim_decode/20260530_003807_paired_i1_i3/substage_scalar_hqc128_s4_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/substage_scalar_hqc128_s4_i3.log
substage,scalar,128,5,542239203,603471909,512,119595.129,495404691,549326783,105316.586,PASS,results/sim_decode/20260530_003807_paired_i1_i3/substage_scalar_hqc128_s5_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/substage_scalar_hqc128_s5_i3.log
substage,fastest,128,2,34440210,43630422,23552,390.209,27510465,35663712,346.181,PASS,results/sim_decode/20260530_003807_paired_i1_i3/substage_fastest_hqc128_s2_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/substage_fastest_hqc128_s2_i3.log
substage,fastest,128,3,31400799,34514397,23552,132.201,24259982,25912030,70.145,PASS,results/sim_decode/20260530_003807_paired_i1_i3/substage_fastest_hqc128_s3_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/substage_fastest_hqc128_s3_i3.log
substage,fastest,128,4,30745023,32545485,512,3516.527,24596194,26918751,4536.244,PASS,results/sim_decode/20260530_003807_paired_i1_i3/substage_fastest_hqc128_s4_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/substage_fastest_hqc128_s4_i3.log
substage,fastest,128,5,31526442,34893324,512,6575.941,24687618,27193630,4894.555,PASS,results/sim_decode/20260530_003807_paired_i1_i3/substage_fastest_hqc128_s5_i1.log,results/sim_decode/20260530_003807_paired_i1_i3/substage_fastest_hqc128_s5_i3.log
